ID,female,age,time,pref_15,region_15,ew_15,pref,region,ew,itemID_1,itemID_2,itemID_3,itemID_4,itemID_5,itemID_6,itemID_7,itemID_8,itemID_9,itemID_10
6863,0,2,227,31,7,1,31,7,1,4,7,5,2,3,0,1,6,8,9
9924,1,2,291,32,7,1,25,6,1,2,8,3,0,7,6,5,9,1,4
5213,0,1,209,35,8,1,39,9,1,4,7,2,1,3,5,0,8,9,6
3523,0,3,288,36,8,1,24,5,0,7,2,1,3,8,4,5,0,9,6
3173,0,3,248,18,5,0,18,5,0,4,7,1,2,8,6,9,3,5,0
8975,1,2,331,13,3,0,14,3,0,5,6,0,9,7,2,1,8,3,4
4769,0,2,287,31,7,1,14,3,0,1,5,0,7,6,2,4,3,8,9
5483,0,1,252,26,6,1,26,6,1,1,7,5,8,2,3,0,9,6,4
4881,0,1,206,42,9,1,42,9,1,4,1,5,7,3,2,0,8,6,9
8615,1,1,294,19,5,0,13,3,0,7,1,0,9,6,2,8,5,3,4
8470,1,1,272,13,3,0,31,7,1,7,2,8,5,6,3,0,1,4,9
1585,1,3,214,43,9,1,45,9,1,7,8,3,1,0,6,2,4,9,5
10053,1,1,362,11,3,0,13,3,0,1,6,0,4,3,2,9,8,7,5
3413,0,2,413,39,9,1,13,3,0,2,7,0,3,5,4,1,8,9,6
3311,0,2,356,46,10,1,46,10,1,7,2,4,5,1,8,0,3,6,9
9320,1,4,412,18,5,0,26,6,1,1,7,5,4,3,2,6,9,0,8
4989,0,3,281,13,3,0,13,3,0,1,2,6,7,3,8,9,5,0,4
4361,0,2,239,29,6,1,18,5,0,1,5,7,8,6,0,4,2,3,9
5743,0,2,258,13,3,0,10,3,0,7,2,1,8,5,6,4,0,3,9
8242,1,2,223,0,0,0,18,5,0,7,4,6,0,3,8,2,9,1,5
1123,1,3,383,26,6,1,29,6,1,2,8,0,7,9,3,6,1,4,5
4603,0,2,303,29,6,1,29,6,1,1,6,2,5,7,4,0,9,8,3
8979,1,2,191,11,3,0,11,3,0,4,0,3,7,2,8,5,6,9,1
9997,1,1,355,4,1,0,12,3,0,0,4,8,1,7,2,3,9,5,6
1708,1,2,496,14,3,0,14,3,0,7,1,0,2,8,4,3,6,9,5
1556,0,1,352,13,3,0,13,3,0,0,7,2,1,6,8,4,3,5,9
9779,1,0,245,26,6,1,26,6,1,7,0,3,2,8,1,9,5,4,6
6211,0,2,399,9,3,0,9,3,0,7,4,5,1,0,2,8,3,6,9
6535,0,4,290,25,6,1,18,5,0,0,3,9,1,6,8,7,4,5,2
1975,1,1,222,30,7,1,12,3,0,9,8,5,3,6,2,0,1,4,7
1344,1,0,328,29,6,1,29,6,1,7,8,9,2,5,6,3,0,1,4
9416,1,1,326,29,6,1,33,7,1,3,7,2,0,8,1,6,9,4,5
8449,1,2,320,1,1,0,1,1,0,5,2,8,7,3,0,9,1,6,4
5331,0,0,197,13,3,0,13,3,0,5,2,7,0,1,6,3,4,8,9
4101,0,2,295,11,3,0,9,3,0,1,4,5,7,3,0,2,8,6,9
9938,1,2,421,14,3,0,14,3,0,8,7,1,2,4,5,6,9,0,3
4225,0,4,316,13,3,0,13,3,0,7,4,5,2,8,3,0,6,9,1
8254,1,2,548,43,9,1,43,9,1,4,7,2,5,8,0,3,9,1,6
3477,0,3,399,16,3,0,16,3,0,7,2,0,4,5,1,9,3,6,8
5515,0,0,334,0,0,0,13,3,0,2,5,8,7,1,0,9,6,3,4
3219,0,3,285,35,8,1,35,8,1,5,4,7,2,3,0,1,6,8,9
1703,1,1,279,14,3,0,14,3,0,7,2,8,6,5,9,3,4,0,1
10114,1,2,509,13,3,0,29,6,1,6,8,1,5,0,4,9,7,2,3
1102,1,3,214,0,0,0,0,0,0,5,4,7,0,2,3,1,6,8,9
8759,1,2,231,13,3,0,13,3,0,4,7,2,9,1,5,8,0,6,3
9994,1,0,179,29,6,1,29,6,1,7,4,9,8,5,2,0,3,1,6
8505,1,2,292,13,3,0,13,3,0,1,7,5,8,0,3,2,4,9,6
3213,0,1,320,34,7,1,31,7,1,7,2,1,3,0,4,9,6,8,5
3073,0,2,270,13,3,0,13,3,0,7,2,1,8,3,6,9,0,4,5
6971,0,3,362,3,1,0,3,1,0,2,7,4,3,0,1,8,5,9,6
9286,1,2,196,17,4,0,17,4,0,8,1,5,7,4,0,2,3,6,9
3349,0,0,338,27,6,1,27,6,1,9,0,3,4,5,8,6,7,1,2
6135,0,2,293,8,3,0,29,6,1,2,7,1,5,4,6,8,3,9,0
8357,1,2,292,14,3,0,13,3,0,4,0,3,2,8,5,1,9,6,7
8103,1,1,248,14,3,0,14,3,0,2,5,4,8,0,6,3,9,1,7
9929,1,4,279,39,9,1,39,9,1,5,1,4,3,0,7,6,8,9,2
1931,1,0,364,18,5,0,18,5,0,7,2,5,0,1,6,8,9,4,3
5209,0,0,208,9,3,0,9,3,0,1,7,5,4,2,6,3,0,8,9
3903,0,2,686,4,1,0,4,1,0,7,4,1,0,2,3,6,5,9,8
9394,1,0,259,7,2,0,7,2,0,7,2,0,6,8,9,1,4,3,5
4365,0,4,341,40,9,1,39,9,1,0,4,3,7,1,8,5,2,6,9
7115,0,3,252,4,1,0,4,1,0,2,7,0,8,1,6,9,4,5,3
6245,0,3,353,21,2,0,9,3,0,7,2,8,0,3,9,4,1,5,6
5435,0,4,406,18,5,0,18,5,0,4,7,1,0,3,5,6,2,8,9
3443,0,0,332,14,3,0,14,3,0,1,0,5,7,2,3,6,9,8,4
3729,0,1,202,30,7,1,29,6,1,5,0,7,4,3,2,8,9,1,6
9507,1,2,327,30,7,1,30,7,1,0,3,4,7,2,5,8,9,6,1
6107,0,1,280,13,3,0,13,3,0,4,7,1,8,0,5,2,6,3,9
3647,0,2,264,30,7,1,30,7,1,5,4,7,0,8,1,3,9,2,6
9591,1,1,247,13,3,0,13,3,0,1,6,3,0,7,2,9,5,8,4
6079,0,2,207,7,2,0,7,2,0,7,5,3,4,0,2,8,6,9,1
4573,0,1,274,14,3,0,14,3,0,2,5,9,7,4,6,1,8,0,3
1805,1,1,215,17,4,0,15,4,0,4,1,5,0,6,7,2,3,8,9
10049,1,0,202,16,3,0,16,3,0,4,7,2,3,0,8,5,6,1,9
9866,1,2,230,20,2,0,31,7,1,5,4,0,3,2,8,1,6,7,9
8226,1,2,281,31,7,1,26,6,1,2,1,5,8,7,6,0,4,9,3
9681,1,1,261,23,6,1,23,6,1,0,6,5,2,3,8,9,4,7,1
1380,0,5,489,13,3,0,14,3,0,7,3,2,5,4,8,1,0,9,6
1789,0,1,215,43,9,1,43,9,1,4,5,7,0,1,3,6,9,2,8
3513,0,1,269,21,2,0,21,2,0,7,2,4,8,0,1,3,5,6,9
6849,0,2,187,11,3,0,11,3,0,2,7,8,6,1,0,3,5,9,4
1358,1,2,201,13,3,0,13,3,0,7,4,1,2,0,5,6,8,3,9
10004,1,1,561,46,10,1,46,10,1,4,7,2,8,3,1,6,9,0,5
6265,0,2,322,9,3,0,9,3,0,7,2,6,8,5,9,4,3,1,0
9584,1,1,230,25,6,1,25,6,1,2,8,7,1,9,0,6,5,3,4
8790,1,2,397,18,5,0,18,5,0,2,1,8,5,0,3,6,7,4,9
6387,0,3,209,19,5,0,19,5,0,0,3,6,1,2,7,5,4,8,9
1569,1,3,314,0,0,0,0,0,0,0,6,5,4,1,2,7,3,9,8
8750,1,2,222,29,6,1,29,6,1,3,0,1,5,7,2,8,4,9,6
9316,1,1,301,11,3,0,11,3,0,1,9,6,0,8,3,5,7,4,2
10104,1,2,207,25,6,1,26,6,1,0,9,7,8,3,6,2,4,5,1
3015,0,5,366,4,1,0,4,1,0,7,2,8,4,3,5,1,6,9,0
6157,0,1,252,26,6,1,26,6,1,1,7,2,3,0,8,6,9,5,4
6111,0,2,320,13,3,0,13,3,0,4,7,5,0,3,2,1,6,8,9
1773,0,1,266,26,6,1,26,6,1,2,3,8,7,0,4,5,1,9,6
5987,0,1,213,14,3,0,14,3,0,6,1,5,7,0,2,8,3,4,9
6261,0,3,321,12,3,0,12,3,0,4,2,3,8,0,7,5,1,9,6
1979,0,3,270,26,6,1,26,6,1,7,5,4,0,6,2,1,3,8,9
8439,1,2,258,34,7,1,31,7,1,5,4,7,1,3,2,9,0,6,8
9558,1,2,213,14,3,0,13,3,0,7,5,1,4,8,2,3,6,0,9
8735,1,2,206,10,3,0,6,1,0,4,7,0,5,8,3,2,9,1,6
6493,0,2,218,12,3,0,12,3,0,7,2,8,1,5,6,4,3,9,0
3973,0,2,392,5,1,0,18,5,0,4,7,5,1,2,3,8,0,9,6
10079,1,1,259,18,5,0,18,5,0,7,2,6,8,3,5,1,9,4,0
5097,0,4,305,13,3,0,13,3,0,4,5,7,2,0,1,6,8,3,9
4405,0,2,429,12,3,0,12,3,0,7,3,2,0,6,4,9,8,1,5
9049,1,3,211,18,5,0,18,5,0,7,8,2,6,1,4,5,0,9,3
6773,0,1,304,43,9,1,43,9,1,7,4,1,2,3,6,0,5,8,9
8943,1,3,241,39,9,1,26,6,1,7,4,0,5,2,3,1,8,6,9
3687,0,1,222,26,6,1,26,6,1,2,6,7,5,0,8,1,4,9,3
1645,1,2,241,13,3,0,13,3,0,5,7,4,1,2,0,9,8,3,6
8703,1,1,264,31,7,1,8,3,0,2,1,3,0,8,6,7,4,5,9
8479,1,4,523,18,5,0,14,3,0,2,8,1,3,7,0,5,6,4,9
5863,0,3,284,16,3,0,16,3,0,2,8,0,1,3,5,6,9,7,4
8085,1,3,290,20,2,0,20,2,0,7,1,0,2,8,6,9,3,5,4
3971,0,3,191,29,6,1,29,6,1,1,7,4,5,2,0,3,8,9,6
5671,0,0,336,11,3,0,11,3,0,7,4,1,6,8,2,0,3,5,9
9057,1,4,335,26,6,1,13,3,0,7,5,8,2,3,6,9,4,0,1
6463,0,1,234,11,3,0,11,3,0,2,5,8,7,0,1,6,4,3,9
1178,0,3,360,18,5,0,18,5,0,1,7,4,5,0,2,6,8,3,9
5109,0,2,245,25,6,1,25,6,1,4,5,1,7,3,8,0,6,2,9
1782,0,2,276,18,5,0,18,5,0,0,7,5,4,1,3,2,8,9,6
4549,0,4,425,13,3,0,13,3,0,4,7,0,5,6,2,1,3,8,9
7107,0,3,288,13,3,0,11,3,0,3,6,0,7,2,8,5,4,1,9
1143,0,2,315,6,1,0,6,1,0,7,2,4,5,1,8,6,0,9,3
5407,0,1,211,18,5,0,18,5,0,6,1,7,0,8,2,3,9,4,5
1730,1,1,379,39,9,1,39,9,1,3,8,0,7,4,2,5,1,6,9
9000,1,0,270,43,9,1,43,9,1,7,2,8,5,0,3,1,6,9,4
4353,0,4,182,39,9,1,13,3,0,7,1,0,5,2,3,4,8,6,9
5635,0,3,259,13,3,0,12,3,0,4,3,8,5,0,2,6,9,1,7
1696,1,1,316,16,3,0,13,3,0,5,4,7,2,0,3,1,8,9,6
4245,0,3,286,6,1,0,13,3,0,3,1,2,0,7,6,9,8,5,4
9605,1,2,216,23,6,1,23,6,1,1,5,4,7,6,0,2,8,3,9
3809,0,3,207,45,9,1,13,3,0,7,0,2,1,4,5,3,8,6,9
4159,0,4,406,42,9,1,26,6,1,5,3,4,2,7,8,9,1,6,0
1177,0,3,275,39,9,1,36,8,1,7,0,3,4,8,9,1,6,2,5
5431,0,1,219,29,6,1,29,6,1,1,7,2,5,6,8,0,4,9,3
5705,0,1,199,13,3,0,13,3,0,6,9,0,1,4,5,3,2,8,7
5965,0,3,322,16,3,0,16,3,0,7,2,0,4,5,8,1,6,9,3
4485,0,2,277,18,5,0,18,5,0,4,7,0,5,2,8,3,6,1,9
6515,0,4,348,16,3,0,14,3,0,3,0,2,1,8,7,9,4,5,6
1239,1,2,272,2,1,0,8,3,0,7,0,2,6,5,8,1,3,9,4
9076,1,2,194,29,6,1,29,6,1,5,4,1,0,7,8,9,2,3,6
9827,1,0,318,14,3,0,14,3,0,0,7,8,3,9,1,2,5,6,4
8705,1,2,221,26,6,1,0,0,0,1,5,6,0,8,2,3,7,9,4
9631,1,2,318,12,3,0,21,2,0,0,5,8,2,7,3,9,6,1,4
6333,0,3,302,25,6,1,46,10,1,7,1,6,4,8,5,3,0,2,9
10092,1,2,508,14,3,0,14,3,0,4,7,1,2,0,9,5,8,6,3
8177,1,1,207,13,3,0,11,3,0,0,1,3,8,7,9,6,2,5,4
10059,1,0,170,26,6,1,26,6,1,6,3,0,8,2,9,1,7,5,4
1910,1,1,280,26,6,1,27,6,1,6,8,2,7,0,3,1,9,4,5
4301,0,4,306,29,6,1,29,6,1,7,4,5,1,0,8,2,3,6,9
7007,0,1,260,18,5,0,10,3,0,6,5,8,7,2,1,4,3,0,9
9427,1,2,267,25,6,1,25,6,1,7,5,2,1,3,6,8,0,9,4
9329,1,2,316,27,6,1,26,6,1,7,2,8,4,5,0,3,6,1,9
3261,0,4,315,27,6,1,27,6,1,7,0,1,3,4,5,2,6,9,8
1815,1,2,208,11,3,0,11,3,0,0,1,6,5,2,4,3,7,8,9
4067,0,1,220,29,6,1,29,6,1,7,8,2,9,6,1,4,5,3,0
9984,1,1,238,26,6,1,26,6,1,5,3,2,7,8,1,0,9,6,4
1858,0,3,218,36,8,1,26,6,1,0,4,3,7,1,2,6,5,9,8
8823,1,4,345,13,3,0,13,3,0,7,2,8,0,3,5,1,4,9,6
5847,0,1,462,18,5,0,18,5,0,7,5,4,1,3,2,8,9,6,0
6949,0,4,298,0,0,0,12,3,0,0,7,2,3,8,6,9,4,1,5
9857,1,3,316,19,5,0,19,5,0,7,8,2,1,0,3,5,6,9,4
9644,1,2,246,15,4,0,0,0,0,1,7,2,0,8,3,4,5,6,9
1989,1,1,283,40,9,1,40,9,1,1,7,8,2,5,4,0,3,9,6
5379,0,2,323,26,6,1,26,6,1,7,2,0,8,4,9,3,1,5,6
1847,0,2,251,26,6,1,23,6,1,4,7,2,3,8,9,5,6,1,0
4391,0,3,385,13,3,0,20,2,0,2,8,1,7,0,4,3,6,9,5
1265,0,2,226,28,6,1,28,6,1,7,8,2,6,4,5,9,0,1,3
9393,1,1,190,0,0,0,13,3,0,7,3,0,2,9,8,4,1,5,6
9935,1,2,259,16,3,0,13,3,0,7,5,4,1,6,9,8,3,0,2
8216,1,2,233,13,3,0,14,3,0,4,7,0,5,3,9,8,2,6,1
8380,1,3,303,25,6,1,25,6,1,7,5,2,0,3,4,8,1,9,6
4297,0,2,167,25,6,1,25,6,1,7,2,5,8,1,9,0,6,4,3
6453,0,3,492,45,9,1,45,9,1,3,9,6,0,1,4,5,2,7,8
6727,0,2,323,26,6,1,26,6,1,7,2,5,4,8,1,0,3,9,6
8326,1,1,315,43,9,1,43,9,1,0,2,1,7,9,6,8,3,5,4
4457,0,4,309,13,3,0,13,3,0,4,7,2,1,8,0,3,5,6,9
9130,1,3,298,0,0,0,0,0,0,2,7,5,8,0,9,4,3,1,6
8229,1,2,238,26,6,1,26,6,1,7,5,1,4,2,6,3,0,8,9
10012,1,2,357,8,3,0,8,3,0,8,2,3,0,7,6,1,9,4,5
1624,1,2,220,30,7,1,30,7,1,7,6,2,0,1,3,8,9,5,4
9820,1,1,205,39,9,1,39,9,1,1,7,8,2,3,9,6,0,5,4
6077,0,2,236,11,3,0,11,3,0,7,0,6,1,5,2,9,8,4,3
3019,0,2,299,26,6,1,26,6,1,0,4,7,5,2,8,1,3,6,9
3925,0,2,231,13,3,0,13,3,0,7,1,4,3,2,0,8,9,6,5
5235,0,0,287,44,9,1,44,9,1,2,8,7,5,0,4,1,6,3,9
4849,0,3,303,0,0,0,0,0,0,8,2,7,1,3,0,9,5,6,4
3519,0,3,296,18,5,0,18,5,0,1,0,2,8,9,7,3,6,5,4
1282,1,2,275,8,3,0,14,3,0,7,4,2,8,0,3,1,6,5,9
9593,1,3,244,13,3,0,14,3,0,1,7,2,0,8,3,5,4,6,9
8430,1,3,304,7,2,0,7,2,0,3,7,4,0,1,5,2,8,9,6
8484,1,2,367,16,3,0,13,3,0,7,2,5,1,3,0,8,6,9,4
5271,0,1,283,25,6,1,25,6,1,2,6,8,3,0,4,7,1,9,5
3719,0,3,302,18,5,0,18,5,0,3,7,4,5,1,2,8,0,9,6
9075,1,2,328,18,5,0,18,5,0,5,2,3,7,0,4,8,6,9,1
8345,1,1,312,34,7,1,34,7,1,7,2,1,8,0,4,5,3,9,6
1305,0,5,349,17,4,0,17,4,0,8,5,0,7,2,3,4,6,1,9
8879,1,1,219,13,3,0,29,6,1,7,4,3,1,0,8,2,6,9,5
5433,0,3,413,42,9,1,13,3,0,7,2,0,4,5,3,1,8,6,9
4793,0,5,373,14,3,0,13,3,0,7,2,8,6,0,9,3,4,1,5
9845,1,0,246,12,3,0,12,3,0,7,8,2,0,9,5,6,1,3,4
8219,1,1,230,26,6,1,26,6,1,4,7,2,3,5,0,8,1,6,9
6573,0,1,330,16,3,0,16,3,0,3,6,8,7,2,5,0,4,9,1
9966,1,0,433,25,6,1,25,6,1,5,8,7,2,4,9,1,3,0,6
5335,0,3,238,13,3,0,24,5,0,5,4,7,1,8,0,2,6,3,9
3567,0,3,350,35,8,1,35,8,1,7,3,0,5,6,2,4,8,9,1
1345,0,1,171,13,3,0,13,3,0,3,0,7,2,8,1,9,4,6,5
9805,1,2,646,29,6,1,26,6,1,1,4,3,0,7,2,8,6,5,9
9129,1,1,429,43,9,1,43,9,1,2,4,5,0,7,3,9,8,1,6
4187,0,3,244,2,1,0,8,3,0,5,4,7,2,0,8,1,9,3,6
9041,1,2,284,34,7,1,31,7,1,4,5,7,8,1,2,0,3,6,9
1064,1,3,431,14,3,0,14,3,0,4,7,5,2,3,0,8,9,1,6
4747,0,3,312,42,9,1,42,9,1,0,7,2,8,3,4,5,6,1,9
3935,0,1,260,31,7,1,31,7,1,4,1,5,3,7,8,2,9,0,6
6293,0,4,656,43,9,1,43,9,1,4,7,0,2,5,1,3,8,6,9
6203,0,3,444,11,3,0,11,3,0,2,3,0,4,8,9,7,1,5,6
1579,1,3,177,7,2,0,7,2,0,7,2,8,5,4,0,1,6,3,9
9548,1,3,453,13,3,0,24,5,0,1,7,2,0,3,6,8,5,9,4
9008,1,3,190,12,3,0,12,3,0,0,3,7,2,6,8,1,4,5,9
8059,1,0,226,26,6,1,26,6,1,7,2,0,9,8,3,5,4,1,6
3601,0,2,192,0,0,0,0,0,0,7,2,5,8,6,0,3,9,4,1
1017,0,1,221,25,6,1,25,6,1,2,5,7,0,3,8,9,1,4,6
3365,0,2,239,6,1,0,6,1,0,5,4,7,3,2,8,6,1,9,0
3693,0,2,338,7,2,0,11,3,0,1,0,8,4,7,5,2,3,9,6
5903,0,3,415,29,6,1,27,6,1,2,7,0,8,6,1,5,3,4,9
9541,1,2,242,16,3,0,16,3,0,7,5,0,4,2,3,1,8,6,9
9975,1,0,282,12,3,0,12,3,0,7,2,5,0,8,1,9,3,6,4
1493,1,1,248,36,8,1,36,8,1,2,3,0,7,8,9,6,4,5,1
8913,1,2,243,14,3,0,14,3,0,5,7,2,3,8,9,6,0,1,4
4633,0,2,446,13,3,0,13,3,0,7,5,4,2,0,8,1,6,3,9
1321,0,1,210,14,3,0,14,3,0,6,1,4,0,7,2,5,8,9,3
1186,0,1,253,5,1,0,29,6,1,1,7,5,4,8,0,3,2,6,9
5775,0,2,274,17,4,0,17,4,0,7,2,3,6,8,0,9,1,5,4
1864,1,2,318,18,5,0,14,3,0,7,2,0,1,8,9,6,3,4,5
9992,1,3,227,26,6,1,26,6,1,0,8,4,2,7,1,3,9,6,5
6225,0,1,215,11,3,0,11,3,0,7,5,2,8,4,6,3,1,0,9
9880,1,1,313,1,1,0,13,3,0,4,7,1,6,0,3,2,5,8,9
3541,0,2,362,13,3,0,13,3,0,7,8,6,2,9,4,3,5,1,0
9391,1,2,425,19,5,0,19,5,0,0,5,3,2,7,9,8,6,4,1
9345,1,2,291,30,7,1,40,9,1,1,4,6,0,7,3,2,9,8,5
1551,0,3,229,13,3,0,13,3,0,6,8,0,2,5,7,9,1,3,4
5241,0,0,229,23,6,1,23,6,1,7,2,0,3,8,9,5,1,6,4
9618,1,2,245,14,3,0,14,3,0,4,0,3,6,9,7,8,2,5,1
1403,1,1,192,31,7,1,31,7,1,6,1,7,3,2,9,8,0,4,5
7245,0,1,223,25,6,1,25,6,1,2,5,0,4,1,7,3,8,6,9
1009,1,0,280,13,3,0,13,3,0,7,0,2,8,5,3,9,6,1,4
8779,1,1,239,26,6,1,26,6,1,3,7,0,6,1,5,9,8,2,4
8295,1,1,246,18,5,0,18,5,0,5,2,7,8,0,3,6,9,4,1
8492,1,2,283,11,3,0,12,3,0,7,2,4,5,0,6,1,9,8,3
4607,0,1,193,27,6,1,27,6,1,6,2,8,7,1,5,4,0,3,9
5381,0,2,371,3,1,0,3,1,0,7,2,5,4,0,6,3,9,8,1
1813,0,4,678,11,3,0,11,3,0,4,2,7,9,1,3,0,8,5,6
1851,0,2,244,17,4,0,17,4,0,1,7,8,0,2,4,5,3,6,9
1127,1,2,331,13,3,0,14,3,0,1,5,0,3,6,2,8,7,9,4
8962,1,1,269,26,6,1,26,6,1,7,1,5,4,0,3,2,8,6,9
1442,0,1,215,10,3,0,11,3,0,7,2,1,3,6,0,8,4,9,5
9671,1,2,266,20,2,0,13,3,0,4,0,7,1,8,3,2,9,5,6
8440,1,3,498,7,2,0,18,5,0,4,5,0,7,1,2,8,9,3,6
8573,1,2,221,14,3,0,14,3,0,5,4,7,1,0,2,8,6,3,9
1422,0,3,206,0,0,0,0,0,0,4,2,7,8,3,0,9,6,5,1
5885,0,4,743,30,7,1,30,7,1,5,4,2,7,8,1,3,9,0,6
9616,1,1,222,16,3,0,18,5,0,3,0,9,7,2,8,6,1,4,5
1716,1,1,252,10,3,0,10,3,0,7,3,2,0,9,8,6,1,5,4
3067,0,5,329,6,1,0,11,3,0,2,1,0,5,8,7,6,4,3,9
3695,0,2,253,14,3,0,14,3,0,7,1,8,4,5,0,3,6,2,9
5559,0,2,233,14,3,0,14,3,0,2,0,8,5,6,7,4,1,3,9
5665,0,2,226,13,3,0,13,3,0,7,2,8,4,5,0,1,3,6,9
1455,1,2,284,26,6,1,26,6,1,1,3,0,8,2,7,9,6,5,4
0,0,2,785,26,6,1,8,3,0,1,7,4,6,2,0,8,5,3,9
1575,0,4,445,26,6,1,26,6,1,1,6,8,9,2,5,7,4,0,3
3515,0,2,241,31,7,1,14,3,0,2,0,3,7,5,4,6,8,9,1
1356,1,1,222,26,6,1,26,6,1,4,7,1,5,3,2,9,8,0,6
5831,0,3,210,0,0,0,0,0,0,6,0,1,5,8,3,2,4,9,7
6593,0,2,318,4,1,0,4,1,0,9,0,6,8,7,2,3,1,4,5
6103,0,1,224,17,4,0,17,4,0,3,1,7,4,5,2,8,0,9,6
3385,0,1,173,19,5,0,19,5,0,5,0,4,2,8,3,6,9,1,7
3539,0,0,240,10,3,0,10,3,0,7,5,2,9,3,0,6,1,8,4
9759,1,0,268,16,3,0,16,3,0,3,2,7,0,8,5,6,9,1,4
9947,1,2,348,13,3,0,13,3,0,7,5,0,3,2,8,6,9,4,1
8113,1,2,312,10,3,0,10,3,0,0,2,3,8,9,1,6,7,5,4
1987,0,1,261,12,3,0,12,3,0,7,0,4,3,8,5,2,1,9,6
9664,1,2,179,39,9,1,25,6,1,5,4,7,2,8,3,0,6,1,9
5113,0,1,265,8,3,0,4,1,0,7,1,2,8,5,3,0,6,9,4
